2025-12-13 22:09:53,648 INFO     Power Grid System  Physical World Simulation main frame inited.
2025-12-13 22:09:54,652 INFO     datamanager subthread started.
2025-12-13 22:12:20,617 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:21,632 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:22,647 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:23,650 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:12:23,681 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:24,692 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:25,100 INFO     Incomming message: b'POST;powerPlc;{"allswitch": [true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true]}'
2025-12-13 22:12:25,707 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:26,720 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:27,744 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:28,650 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:12:28,759 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:29,770 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:30,784 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:31,804 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:32,825 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:33,661 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:12:33,837 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:34,850 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:35,862 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:36,878 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:37,284 INFO     Incomming message: b'POST;powerPlc;{"allswitch": [true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]}'
2025-12-13 22:12:37,891 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:38,668 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:12:38,918 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:39,328 INFO     Incomming message: b'POST;powerPlc;{"allswitch": [true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true]}'
2025-12-13 22:12:39,938 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:40,963 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:41,976 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:42,995 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:43,402 INFO     Incomming message: b'POST;powerPlc;{"allswitch": [true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]}'
2025-12-13 22:12:43,669 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:12:44,017 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:45,040 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:45,453 INFO     Incomming message: b'POST;powerPlc;{"allswitch": [true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true]}'
2025-12-13 22:12:46,056 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:47,072 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:48,087 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:48,678 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:12:49,102 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:50,126 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:51,142 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:52,173 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:53,191 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:53,691 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:12:54,200 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:55,217 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:56,237 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:57,249 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:58,284 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:12:58,692 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:12:59,301 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:00,320 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:00,729 INFO     Incomming message: b'POST;powerPlc;{"allswitch": [true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]}'
2025-12-13 22:13:01,335 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:02,347 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:03,361 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:03,704 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:13:04,373 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:05,386 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:06,396 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:06,802 INFO     Incomming message: b'POST;powerPlc;{"allswitch": [true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true]}'
2025-12-13 22:13:07,406 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:08,416 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:08,715 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:13:09,426 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:10,449 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:11,456 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:12,470 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:13,495 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:13,718 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:13:14,512 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:15,520 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:16,542 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:17,550 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:18,566 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:18,720 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:13:19,590 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:20,602 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:21,615 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:22,626 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:23,660 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:23,723 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:13:24,677 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:25,700 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:26,720 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:13:27,744 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
